t,x
0.552,-0.581031
0.553,-0.196003
0.554,-0.509549
0.555,-0.624526
0.556,-0.290908
0.557,-0.327153
0.558,-0.527776
0.559,-0.236257
0.56,-0.540541
0.561,-0.634173
0.562,-0.477418
0.5630000000000001,-0.792086
0.5640000000000001,-0.350013
0.5650000000000001,0.071716
0.5660000000000001,-0.167312
0.5670000000000001,0.057149
0.5680000000000001,-0.350229
0.5690000000000001,-0.408521
0.5700000000000001,-0.526009
0.5710000000000001,-0.402687
0.5720000000000001,0.055685
0.5730000000000001,-0.219586
0.5740000000000001,-0.561297
0.5750000000000001,-0.523822
0.5760000000000001,-0.437464
0.5770000000000001,-0.380496
0.5780000000000001,-0.474983
0.5790000000000001,-0.63871
0.5800000000000001,-0.438499
0.5810000000000001,-0.56043
0.5820000000000001,-0.558864
0.5830000000000001,-0.784019
0.5840000000000001,-0.696334
0.5850000000000001,-0.236452
0.5860000000000001,-0.207939
0.5870000000000001,-0.539732
0.5880000000000001,-0.193347
0.5890000000000001,-0.298122
0.5900000000000001,-0.247034
0.5910000000000001,-0.307424
0.5920000000000001,-0.214934
0.5930000000000001,-0.513146
0.5940000000000001,-0.106781
0.5950000000000001,-0.235706
0.5960000000000001,-0.583553
0.5970000000000001,-0.575299
0.5980000000000001,-0.373257
0.5990000000000001,-0.650861
0.6000000000000001,-0.438824
0.6010000000000001,-0.416584
0.6020000000000001,-0.486919
0.6030000000000001,-0.032168
0.6040000000000001,-0.5416
0.6050000000000001,-0.398056
0.6060000000000001,-0.248335
0.6070000000000001,-0.30878
0.6080000000000001,-0.244703
0.6090000000000001,-0.120631
0.6100000000000001,-0.641647
0.6110000000000001,-0.199861
0.6120000000000001,-0.105662
0.6130000000000001,-0.634049
0.6140000000000001,-0.635077
0.6150000000000001,-0.541145
0.6160000000000001,-0.506466
0.6170000000000001,-0.706206
0.6180000000000001,-0.432412
0.6190000000000001,-0.620735
0.62,-0.787251
0.621,-0.439975
0.622,-0.659871
0.623,-0.142963
0.624,-0.579717
0.625,-0.456396
0.626,-0.33076
0.627,-0.255169
0.628,-0.672783
0.629,-0.543762
0.63,-0.520594
0.631,-0.589432
0.632,-0.157967
0.633,-0.505086
0.634,-0.504547
0.635,-0.348158
0.636,-0.5953
0.637,-0.539953
0.638,-0.354622
0.639,-0.616332
0.64,-0.485088
0.641,-0.323728
0.642,-0.38877
0.643,-0.377955
0.644,-0.342964
0.645,-0.164604
0.646,-0.34265
0.647,-0.55849
0.648,-0.767929
0.649,-0.642889
0.65,-0.604248
0.651,-0.320946
0.652,-0.406781
0.653,-0.596015
0.654,-0.48911
0.655,-0.337136
0.656,-0.739683
0.657,-0.202813
0.658,-0.387661
0.659,-0.732306
0.66,-0.504689
0.661,-0.320161
0.662,-0.310341
0.663,-0.473291
0.664,-0.415002
0.665,-0.19307
0.666,-0.270676
0.667,-0.051499
0.668,-0.76822
0.669,-0.80394
0.67,-0.248575
0.671,-0.691915
0.672,-0.421503
0.673,-0.372591
0.674,-0.418413
0.675,-0.577274
0.676,-0.423351
0.677,-0.599832
0.678,-0.368271
0.679,-0.518093
0.68,-0.462783
0.681,-0.4933
0.682,-0.35558
0.683,-0.615626
0.684,-0.45908
0.685,-0.703218
0.686,-0.69447
0.687,-0.700476
0.6880000000000001,-0.562741
0.6890000000000001,-0.821436
0.6900000000000001,-0.49574
0.6910000000000001,-0.521608
0.6920000000000001,-0.404264
0.6930000000000001,-0.288483
0.6940000000000001,-0.612255
0.6950000000000001,-0.676971
0.6960000000000001,-0.397198
0.6970000000000001,-0.746703
0.6980000000000001,-0.358123
0.6990000000000001,-0.302816
0.7000000000000001,-0.183414
0.7010000000000001,-0.06299
0.7020000000000001,-0.570304
0.7030000000000001,-0.480321
0.7040000000000001,-0.325705
0.7050000000000001,-0.462388
0.7060000000000001,-0.069717
0.7070000000000001,-0.359381
0.7080000000000001,-0.282888
0.7090000000000001,-0.380725
0.7100000000000001,-0.380502
0.7110000000000001,-0.277262
