x,p,pconv
-2.2772772772772774,8.003565017409179e-35,2.147655421456515e-29
-2.2672672672672673,1.3202253967040672e-34,3.542657833863543e-29
-2.2572572572572573,2.177773397618544e-34,5.843779408208419e-29
-2.2472472472472473,3.592338840939732e-34,9.639586822461408e-29
-2.2372372372372373,5.925730547648382e-34,1.5900948276256008e-28
-2.2272272272272273,9.774769051058402e-34,2.6229356168567273e-28
-2.2172172172172173,1.6123937670342857e-33,4.326654694203858e-28
-2.2072072072072073,2.659718757948093e-33,7.137018813031298e-28
-2.1971971971971973,4.3873302018479735e-33,1.1772845567223044e-27
-2.1871871871871873,7.237105894194984e-33,1.941985812011833e-27
-2.1771771771771773,1.1937943877971797e-32,3.2033962159114868e-27
-2.1671671671671673,1.969219548769071e-32,5.284151538411701e-27
-2.1571571571571573,3.2483195355020297e-32,8.71645453728359e-27
-2.1471471471471473,5.358254650335764e-32,1.4378198495679134e-26
-2.1371371371371373,8.838691078280129e-32,2.371750934934332e-26
-2.1271271271271273,1.4579833373983911e-31,3.912313840327311e-26
-2.1171171171171173,2.4050115490007052e-31,6.453544240150337e-26
-2.1071071071071072,3.967178775271808e-31,1.0645422366241758e-25
-2.0970970970970972,6.5440465105069185e-31,1.7560120941084681e-25
-2.0870870870870872,1.0794710084307779e-30,2.8966238901273634e-25
-2.0770770770770772,1.7806377998256014e-30,4.778116272095733e-25
-2.067067067067067,2.9372451408185502e-30,7.8817257523420205e-25
-2.057057057057057,4.845122920622626e-30,1.3001274413919599e-24
-2.047047047047047,7.992256345822397e-30,2.144620882499128e-24
-2.037037037037037,1.3183599785561064e-29,3.537652220252333e-24
-2.027027027027027,2.1746963033373978e-29,5.835522414979016e-24
-2.017017017017017,3.587263030336298e-29,9.625966526831395e-24
-2.007007007007007,5.91735776120517e-29,1.5878480963044383e-23
-1.9969969969969972,9.760957749120497e-29,2.619229528701409e-23
-1.9869869869869872,1.610115528331892e-28,4.3205413288486877e-23
-1.9769769769769772,2.6559606968988708e-28,7.126934531591659e-23
-1.9669669669669672,4.381131104784627e-28,1.1756211074367593e-22
-1.9569569569569571,7.226880194320215e-28,1.9392418747755707e-22
-1.9469469469469471,1.1921076108866016e-27,3.1988699633429995e-22
-1.9369369369369371,1.9664371315448887e-27,5.276685273415144e-22
-1.9269269269269271,3.243729808454619e-27,8.7041385842323e-22
-1.9169169169169171,5.350683681400396e-27,1.4357882754776253e-21
-1.9069069069069071,8.826202411736734e-27,2.3683997581774656e-21
-1.8968968968968971,1.4559232735761098e-26,3.906785916412449e-21
-1.886886886886887,2.40161337759699e-26,6.444425667334982e-21
-1.876876876876877,3.96157333297228e-26,1.0630380842099859e-20
-1.866866866866867,6.534800071866809e-26,1.7535309208081313e-20
-1.856856856856857,1.0779457652303735e-25,2.8925310683547035e-20
-1.846846846846847,1.7781218399940339e-25,4.771364941363914e-20
-1.836836836836837,2.9330949476739985e-25,7.870589032129411e-20
-1.826826826826827,4.838276983370015e-25,1.298290363683487e-19
-1.816816816816817,7.980963652871786e-25,2.1415904715158077e-19
-1.806806806806807,1.3164971961587534e-24,3.532653236515581e-19
-1.796796796796797,2.1716235568498243e-24,5.827275871889382e-19
-1.7867867867867866,3.582194391621397e-24,9.612362164447203e-19
-1.7767767767767766,5.908996805126714e-24,1.5856036464062345e-18
-1.7667667667667666,9.747165961921368e-24,2.615526290626499e-18
-1.7567567567567566,1.6078405086766866e-23,4.3144302831317214e-18
-1.7467467467467466,2.652207945818252e-23,7.116847924002903e-18
-1.7367367367367366,4.374940766762303e-23,1.1739557001727468e-17
-1.7267267267267266,7.216668942892286e-23,1.9364907177468995e-17
-1.7167167167167166,1.190423217314742e-22,3.19432178425655e-17
-1.7067067067067065,1.9636586457491502e-22,5.269157928617697e-17
-1.6966966966966965,3.239146566481903e-22,8.691660511964304e-17
-1.6866866866866865,5.343123409898311e-22,1.4337149848715004e-16
-1.6766766766766765,8.813731391108652e-22,2.3649435721407044e-16
-1.6666666666666665,1.453866120529911e-21,3.900998103059739e-16
-1.6566566566566565,2.3982200076542313e-21,6.434672804604177e-16
-1.6466466466466465,3.9559758109066796e-21,1.0613809923144383e-15
-1.6366366366366365,6.5255666980221e-21,1.7506850065249168e-15
-1.6266266266266265,1.076422677128942e-20,2.8875772411626646e-15
-1.6166166166166165,1.7756094350987734e-20,4.7626008254439295e-15
-1.6066066066066065,2.928950618562748e-20,7.854791039929046e-15
-1.5965965965965965,4.831440719113936e-20,1.295383668150026e-14
-1.5865865865865865,7.969686915980383e-20,2.1361276113097275e-14
-1.5765765765765765,1.3146370457878127e-19,3.5221714108460234e-14
-1.5665665665665665,2.1685551520126513e-19,5.806778691132495e-14
-1.5565565565565564,3.5771329146612495e-19,9.57162219897183e-14
-1.5465465465465464,5.900647662696953e-19,1.5774001039959607e-13
-1.5365365365365364,9.733393661886955e-19,2.598847981084862e-13
-1.5265265265265264,1.6055687035202455e-18,4.280306487269404e-13
-1.5165165165165164,2.6484604972033258e-18,7.046789867956966e-13
-1.5065065065065064,4.368759175404567e-18,1.1595581300856905e-12
-1.4964964964964964,7.206472119495739e-18,1.906932159460163e-12
-1.4864864864864864,1.188741203713985e-17,3.1337941865632673e-12
-1.4764764764764764,1.9608840858268014e-17,5.14568617177171e-12
-1.4664664664664664,3.234569800420536e-17,8.44098003496156e-12
-1.4564564564564564,5.335573820714184e-17,1.3830966418153111e-11
-1.4464464464464464,8.801277991462511e-17,2.2633409600679494e-11
-1.4364364364364364,1.451811874146908e-16,3.6983476241190895e-11
-1.4264264264264264,2.3948314323880485e-16,6.033141337456073e-11
-1.4164164164164164,3.950386197883824e-16,9.823604134837982e-11
-1.4064064064064064,6.51634637051246e-16,1.5962461262752174e-10
-1.3963963963963963,1.0749017410813586e-15,2.5878423609755287e-10
-1.3863863863863863,1.7731005801167558e-15,4.1849480419584165e-10
-1.3763763763763763,2.9248121451990634e-15,6.749331673533368e-10
-1.3663663663663663,4.824614114186712e-15,1.0853097124109186e-09
-1.3563563563563563,7.958426112602661e-15,1.7396944518836216e-09
-1.3463463463463463,1.3127795237243046e-14,2.7792261584066193e-09
-1.3363363363363363,2.1654910826912413e-14,4.4239828191747786e-09
-1.3263263263263263,3.572078589336737e-14,7.015376246983601e-09
-1.3163163163163163,5.89231031722389e-14,1.1080228588707665e-08
-1.3063063063063063,9.719640821483097e-14,1.7426982876163153e-08
-1.2962962962962963,1.6033001083206693e-13,2.728918606642716e-08
-1.2862862862862863,2.6447183435620333e-13,4.253798702064153e-08
-1.2762762762762763,4.36258631835292e-13,6.59946088128204e-08
-1.2662662662662663,7.196289703744656e-13,1.0188649108043622e-07
-1.2562562562562563,1.1870615667215773e-12,1.5650821806770068e-07
-1.2462462462462462,1.958113446230826e-12,2.3917192315693184e-07
-1.2362362362362362,3.2299995011204564e-12,3.635634191088918e-07
-1.2262262262262262,5.3280348987545575e-12,5.496620730982387e-07
-1.2162162162162162,8.788842187900949e-12,8.264370858456776e-07
-1.2062062062062062,1.4497605303201652e-11,1.2356034421790982e-06
-1.1961961961961962,2.391447645023859e-11,1.8368108844455773e-06
