f,S
393.333333333333,2.938601984700483e-05
394,3.297941824582476e-05
394.666666666667,1.989282073036362e-05
395.333333333333,3.726359616495617e-05
396,1.985984317376841e-05
396.666666666667,2.90627049327208e-05
397.333333333333,3.957662282838917e-05
398,2.666352217460806e-05
398.666666666667,2.133280533795591e-05
399.333333333333,3.167337585447316e-05
400,3.082839454264507e-05
400.666666666667,3.629129161163587e-05
401.333333333333,2.404405979383514e-05
402,4.03532293771738e-05
402.666666666667,3.282631497205523e-05
403.333333333333,2.75608442572026e-05
404,2.243705321877546e-05
404.666666666667,2.92894037515881e-05
405.333333333333,3.835563484358593e-05
406,1.957698159587502e-05
406.666666666667,3.083857572050196e-05
407.333333333333,2.768891555755319e-05
408,3.362120804180261e-05
408.666666666667,2.862902818346248e-05
409.333333333333,3.798874090359269e-05
410,2.143666730120194e-05
410.666666666667,3.139742248335844e-05
411.333333333333,2.308775882691807e-05
412,2.848848363655237e-05
412.666666666667,1.9376945267168e-05
413.333333333333,2.959599755041926e-05
414,2.043687780972627e-05
414.666666666667,3.238189266924698e-05
415.333333333333,2.621896653801179e-05
416,2.305064881809287e-05
416.666666666667,2.760298731385138e-05
417.333333333333,2.02318914549394e-05
418,1.821121301029199e-05
418.666666666667,2.406093791425778e-05
419.333333333333,2.851371041510919e-05
420,2.078463126382385e-05
420.666666666667,3.177914238771778e-05
421.333333333333,3.274555035832354e-05
422,2.789459964341698e-05
422.666666666667,3.189918286620623e-05
423.333333333333,2.464183556732135e-05
424,3.23991292770785e-05
424.666666666667,2.285848799254057e-05
425.333333333333,2.911673835083175e-05
426,2.853935017165635e-05
426.666666666667,2.080004928147827e-05
427.333333333333,3.014617100629426e-05
428,2.111553413501061e-05
428.666666666667,2.686715612749241e-05
429.333333333333,2.82392408334623e-05
430,3.374090617612723e-05
430.666666666667,2.179676368569246e-05
431.333333333333,2.737898177668636e-05
432,2.291831404624012e-05
432.666666666667,3.161746993923368e-05
433.333333333333,2.241089493693399e-05
434,2.180537411498034e-05
434.666666666667,2.866637003951732e-05
435.333333333333,1.506664124180843e-05
436,1.67795711702508e-05
436.666666666667,2.431855770947477e-05
437.333333333333,1.827483250960373e-05
438,1.868914701847934e-05
438.666666666667,2.801535125158038e-05
439.333333333333,1.812113048226279e-05
440,2.673930103489405e-05
440.666666666667,2.319332394616273e-05
441.333333333333,2.329540880063527e-05
442,2.389484570751061e-05
442.666666666667,1.941809945000526e-05
443.333333333333,2.535588088525856e-05
444,1.661283794206982e-05
444.666666666667,2.374177817761284e-05
445.333333333333,1.853600825566279e-05
446,3.319189399122992e-05
446.666666666667,3.077242653600318e-05
447.333333333333,1.936442025652222e-05
448,2.733472006427594e-05
448.666666666667,2.989930321033688e-05
449.333333333333,2.079188757321424e-05
450,2.546739757736688e-05
450.666666666667,1.84867393076455e-05
451.333333333333,2.770225868520816e-05
452,2.239745980706335e-05
452.666666666667,1.966573282473519e-05
453.333333333333,2.334835685821508e-05
454,2.525341617135156e-05
454.666666666667,3.731455457363329e-05
