t,x
0.6970000000000001,0.124033
0.6980000000000001,0.006441
0.6990000000000001,-0.274819
0.7000000000000001,-0.11352
0.7010000000000001,0.005023
0.7020000000000001,-0.160882
0.7030000000000001,-0.272364
0.7040000000000001,0.07776
0.7050000000000001,-0.143449
0.7060000000000001,-0.197201
0.7070000000000001,-0.050548
0.7080000000000001,-0.044043
0.7090000000000001,0.149655
0.7100000000000001,0.144806
0.7110000000000001,0.185877
0.7120000000000001,-0.03597
0.7130000000000001,0.123903
0.7140000000000001,-0.116862
0.7150000000000001,0.318515
0.7160000000000001,0.192494
0.7170000000000001,0.102985
0.7180000000000001,-0.273988
0.7190000000000001,-0.051169
0.7200000000000001,-0.280475
0.7210000000000001,0.065057
0.7220000000000001,0.237708
0.7230000000000001,-0.140207
0.7240000000000001,-0.082885
0.7250000000000001,-0.004192
0.7260000000000001,0.041012
0.7270000000000001,-0.155689
0.7280000000000001,0.290514
0.7290000000000001,0.31285
0.7300000000000001,0.219236
0.7310000000000001,0.062665
0.7320000000000001,-0.083337
0.7330000000000001,-0.10794
0.7340000000000001,-0.081116
0.7350000000000001,0.189527
0.7360000000000001,0.436897
0.7370000000000001,-0.320529
0.7380000000000001,-0.362225
0.7390000000000001,0.162167
0.7400000000000001,0.178311
0.7410000000000001,0.166851
0.7420000000000001,0.541312
0.7430000000000001,-0.377196
0.7440000000000001,0.023712
0.7450000000000001,-0.139983
0.7460000000000001,-0.119072
0.7470000000000001,0.123559
0.7480000000000001,-0.043103
0.7490000000000001,0.038203
0.7500000000000001,0.076457
0.7510000000000001,-0.14255
0.7520000000000001,0.020586
0.7530000000000001,-0.29186
0.7540000000000001,0.589366
0.7550000000000001,0.190832
0.7560000000000001,0.112416
0.7570000000000001,-0.33328
0.758,-0.193823
0.759,-0.012019
0.76,0.173343
0.761,0.029997
0.762,0.233891
0.763,-0.151301
0.764,0.298476
0.765,0.065317
0.766,0.249806
0.767,0.176949
0.768,0.029678
0.769,-0.064501
0.77,0.096246
0.771,-0.025361
0.772,0.181212
0.773,-0.088264
0.774,-0.0398
0.775,-0.158628
0.776,-0.231843
0.777,0.048771
0.778,-0.123577
0.779,0.111919
0.78,0.058629
0.781,0.099686
0.782,-0.048529
0.783,-0.067742
0.784,-0.06355
0.785,-0.036614
0.786,-0.149242
0.787,-0.180582
0.788,0.218504
0.789,-0.051194
0.79,0.178176
0.791,0.003453
0.792,-0.256557
0.793,-0.157594
0.794,0.119345
0.795,0.041784
0.796,0.099233
0.797,-0.111405
0.798,0.178447
0.799,0.012317
0.8,-0.048834
0.801,-0.257297
0.802,-0.056724
0.803,0.176726
0.804,-0.16233
0.805,-0.091637
0.806,0.426203
0.807,-0.292496
0.808,0.309775
0.809,-0.320883
0.81,0.181737
0.811,0.109473
0.812,0.070451
0.8130000000000001,0.098625
0.8140000000000001,0.041003
0.8150000000000001,-0.273988
0.8160000000000001,0.182513
0.8170000000000001,0.111108
0.8180000000000001,0.177669
0.8190000000000001,-0.070419
0.8200000000000001,0.360311
0.8210000000000001,-0.341962
0.8220000000000001,0.033984
0.8230000000000001,-0.123373
0.8240000000000001,-0.066132
0.8250000000000001,-0.004055
0.8260000000000001,0.291183
0.8270000000000001,0.138937
0.8280000000000001,-0.177446
0.8290000000000001,0.22208
0.8300000000000001,0.143153
0.8310000000000001,-0.005032
0.8320000000000001,0.060307
0.8330000000000001,0.125773
0.8340000000000001,0.053139
0.8350000000000001,0.101646
0.8360000000000001,0.023591
0.8370000000000001,-0.126248
0.8380000000000001,-0.086007
0.8390000000000001,0.015749
0.8400000000000001,0.065811
0.8410000000000001,0.095519
0.8420000000000001,-0.082399
0.8430000000000001,0.224038
0.8440000000000001,0.170743
0.8450000000000001,0.242334
0.8460000000000001,-0.166378
0.8470000000000001,0.207535
