f,S
156.666666666667,4.61396628531243e-05
157.333333333333,5.891352525970679e-05
158,4.472467031996897e-05
158.666666666667,4.320494222141494e-05
159.333333333333,5.633919039963984e-05
160,5.975657411180225e-05
160.666666666667,6.041466737566163e-05
161.333333333333,7.09910870805587e-05
162,5.604427172256121e-05
162.666666666667,5.031146504628273e-05
163.333333333333,4.898966304956626e-05
164,6.688781379780635e-05
164.666666666667,4.410250883317671e-05
165.333333333333,4.763882897974603e-05
166,4.722699943922542e-05
166.666666666667,3.803848598997272e-05
167.333333333333,4.698587872032949e-05
168,5.493071959222873e-05
168.666666666667,3.810641798563644e-05
169.333333333333,5.287731222104037e-05
170,3.430294181683027e-05
170.666666666667,3.598349702067696e-05
171.333333333333,5.645745159955131e-05
172,4.777562195918648e-05
172.666666666667,6.619569290656375e-05
173.333333333333,4.369618623008561e-05
174,2.991105511774909e-05
174.666666666667,5.167181477836824e-05
175.333333333333,3.193975992306738e-05
176,5.494249891969963e-05
176.666666666667,4.832895249161513e-05
177.333333333333,3.852484686300823e-05
178,4.671515605406647e-05
178.666666666667,5.138632023912831e-05
179.333333333333,3.489343741594662e-05
180,5.727679935841956e-05
180.666666666667,3.841838356443218e-05
181.333333333333,6.039798426123106e-05
182,5.106168332820513e-05
182.666666666667,4.284393794417018e-05
183.333333333333,3.820207136774345e-05
184,5.387028963647138e-05
184.666666666667,5.675054142000667e-05
185.333333333333,3.781409207311863e-05
186,3.687325475258262e-05
186.666666666667,3.837373348779461e-05
187.333333333333,5.422150965494348e-05
188,3.9603037550048e-05
188.666666666667,5.413311759130875e-05
189.333333333333,2.670757216285441e-05
190,4.663449862402258e-05
190.666666666667,3.492368991312252e-05
191.333333333333,4.43588729533633e-05
192,5.394807181711417e-05
192.666666666667,3.602405601338502e-05
193.333333333333,4.574319969878537e-05
194,4.33436109991825e-05
194.666666666667,3.601954177669623e-05
195.333333333333,4.634914003774254e-05
196,2.289200869815296e-05
196.666666666667,5.449826958847101e-05
197.333333333333,5.493218256468638e-05
198,4.091109255145506e-05
198.666666666667,4.015684986569477e-05
199.333333333333,2.244092192928728e-05
200,4.716810078263851e-05
200.666666666667,4.401470071596908e-05
201.333333333333,4.74385444915389e-05
202,3.63774452591478e-05
202.666666666667,3.976570455899961e-05
203.333333333333,5.834434837980737e-05
204,3.677764457142381e-05
204.666666666667,3.987990174339265e-05
205.333333333333,3.692858638972085e-05
206,3.048973548217669e-05
206.666666666667,2.770064986775282e-05
207.333333333333,3.623664398527912e-05
208,3.871316646102118e-05
208.666666666667,2.857563052658033e-05
209.333333333333,5.218376897294746e-05
210,4.026074281452046e-05
210.666666666667,3.020409082091103e-05
211.333333333333,3.431564678771935e-05
212,2.260277798704463e-05
212.666666666667,3.80033468814292e-05
213.333333333333,4.177762977045679e-05
214,4.084185953281279e-05
214.666666666667,3.477260235982122e-05
215.333333333333,4.556701977647599e-05
216,3.573296035562876e-05
216.666666666667,5.009708868766189e-05
217.333333333333,4.374539577522785e-05
218,5.835621723153376e-05
218.666666666667,5.462747223044528e-05
219.333333333333,2.785904479583178e-05
220,4.749409534230681e-05
220.666666666667,4.501116949197219e-05
221.333333333333,4.187579687699518e-05
222,4.028243351121547e-05
222.666666666667,4.917112909096309e-05
223.333333333333,2.984469029971599e-05
224,4.281549589032169e-05
224.666666666667,4.025045447752123e-05
225.333333333333,4.137658210872362e-05
226,2.510961964666422e-05
226.666666666667,6.238585518748796e-05
227.333333333333,4.606426086594898e-05
228,2.952546151272904e-05
228.666666666667,2.834187108870796e-05
229.333333333333,3.208755371268269e-05
230,3.640089679023039e-05
230.666666666667,4.475714547443507e-05
231.333333333333,4.904764271593507e-05
232,5.214023466983363e-05
232.666666666667,3.898487547191589e-05
233.333333333333,2.954092509630518e-05
234,4.044392150633578e-05
234.666666666667,3.493531660900377e-05
235.333333333333,3.969860863642437e-05
236,3.461036982398191e-05
236.666666666667,3.859860408218876e-05
237.333333333333,3.875189053991214e-05
238,4.472114511389211e-05
238.666666666667,2.728920846381395e-05
239.333333333333,3.497885922847998e-05
240,4.443391854230039e-05
240.666666666667,3.286474425127656e-05
241.333333333333,4.671117161908403e-05
242,3.657436122096641e-05
242.666666666667,3.461987306331464e-05
243.333333333333,2.662571821040592e-05
244,3.332643788784114e-05
244.666666666667,3.718482295811669e-05
245.333333333333,4.829806923108407e-05
246,5.843943767111789e-05
246.666666666667,4.09549430942178e-05
247.333333333333,3.767402034242264e-05
248,3.378939908100855e-05
248.666666666667,3.974765938159092e-05
249.333333333333,3.306459835658446e-05
250,5.104884789609719e-05
