x,i,t,m,s
-1.1743486973947896,0.0017159711792435687,1.1256663468971987e-05,7.714653943048861e-11,7.129737625931541e-11
-1.1543086172344692,0.0022172023874187574,1.454539224683554e-05,2.1011547593311303e-10,1.9419514123288075e-10
-1.1342685370741483,0.0028648420709155658,1.879586196830159e-05,5.722682438920603e-10,5.289360542707536e-10
-1.1142284569138279,0.0037016558063706836,2.4290763014996637e-05,1.558623666437911e-09,1.4406815110374042e-09
-1.094188376753507,0.004782900896334248,3.139812448218232e-05,4.245050878658099e-09,3.924034293912256e-09
-1.0741482965931866,0.006179975173484186,4.0600510268989433e-05,1.1561775898313145e-08,1.068802856275388e-08
-1.0541082164328657,0.007985131612104554,5.2539276278098814e-05,3.148953217270207e-08,2.91113547951067e-08
-1.0340681362725452,0.010317570066657986,6.808824757512497e-05,8.576456394379687e-08,7.929160864706819e-08
-1.0140280561122244,0.01333130839309273,8.849056140957004e-05,2.3358748630242152e-07,2.1596930977931616e-07
-0.9939879759519039,0.017225352706454485,0.00011564075186556717,6.361965012574951e-07,5.882431137721394e-07
-0.9739478957915835,0.022256838347201765,0.00015271581340634336,1.732738374173167e-06,1.6022182098647647e-06
-0.9539078156312626,0.028758009293351806,0.00020566730623279887,4.719268911571031e-06,4.364017413753702e-06
-0.9338677354709422,0.03715815721959747,0.0002868720405002596,1.2853354037354672e-05,1.1886425875257458e-05
-0.9138276553106213,0.04801196890480002,0.00042424888989361855,3.5007268801762945e-05,3.2375471198330016e-05
-0.8937875751503008,0.06203615385156061,0.000684313997552482,9.534545651803219e-05,8.81821959194419e-05
-0.87374749498998,0.08015677074867558,0.0012309688072698589,0.0002596819655765024,0.00024018491127246214
-0.8537074148296595,0.10383113328785602,0.00247630668653867,0.0007072673191220712,0.0006541999890279507
-0.8336673346693386,0.13641030662905576,0.005411983501882874,0.0019082105245844872,0.0017651285252196006
-0.8136272545090182,0.17396548830745218,0.011589650580225307,0.004756134225176539,0.004399752603703781
-0.7935871743486977,0.21606461833598647,0.023450807420357222,0.010842262317574538,0.010030441744939018
-0.7735470941883769,0.2623449130346222,0.044416342257599876,0.022718535485047868,0.021018848940081027
-0.7535070140280564,0.31184109739815924,0.07854856546622548,0.043968162944393506,0.040681621562097266
-0.7334669338677355,0.3633680112804692,0.129819321673439,0.07896652746864645,0.07306975241155897
-0.7134268537074151,0.4155972321380694,0.20103872738590714,0.1322177665504664,0.122355323881809
-0.6933867735470942,0.4671445957150055,0.29273073382472004,0.2073099315883942,0.19186509231554674
-0.6733466933867738,0.5166588495239863,0.40235324054523397,0.30571833589599146,0.282973088221175
-0.6533066132264529,0.5629024410716903,0.5242020959670418,0.4258215291046793,0.39418926158495354
-0.6332665330661325,0.6048173674641234,0.6501163577592264,0.5624944246600532,0.5207815038031579
-0.6132264529058116,0.6415716133626932,0.7708163678520661,0.7074879955796005,0.655125110914445
-0.5931863727454911,0.6725844710608979,0.8774906472026021,0.850554107144083,0.7877418232717375
-0.5731462925851707,0.6975315352435232,0.9631928820121383,0.9810351533678797,0.908769534163851
-0.5531062124248498,0.7163320983104543,1.0237198052596983,1.0895084372309245,1.0094835627688077
-0.5330661322645294,0.7291228989596086,1.0578436811126928,1.1690942973113603,1.0835077603764387
-0.5130260521042085,0.7362226966997125,1.066973976485414,1.2161767868320845,1.1274828165807742
-0.49298597194388805,0.7380920610430868,1.0544513475499895,1.230475949736703,1.1411349911019142
-0.47294589178356716,0.7352922373722497,1.0247110409125975,1.2145781645218419,1.1268433798197204
-0.4529058116232467,0.7284461593581315,0.98251147548837,1.1731294699590693,1.0888949925286198
-0.43286573146292584,0.7182037826779017,0.932345611879775,1.1119166324138732,1.0326354267019904
-0.4128256513026054,0.7052130448425091,0.8780737827615623,1.0370205060981588,0.9636858675880847
-0.3927855711422845,0.6900969978891925,0.8227588054120298,0.9541564682182319,0.8873327036512637
-0.3727454909819641,0.6734370611770357,0.7686537901031882,0.8682454013866966,0.8081301274178833
-0.35270541082164364,0.655761914106166,0.7172858524917055,0.7832036174240752,0.7297051419319301
